과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
COR1012-18,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.07,신청없음,신청없음,신청없음,,,,,0.08 : 1,2.00 : 1,1.50 : 1,2.00 : 1,,,,,신청없음,0.50 : 1,0.33 : 1,0.67 : 1
COR1013-01,자연계글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,신청없음,1 : 0.40,1 : 0.12,1 : 0.06,신청없음,0.04 : 1,1.00 : 1,신청없음,0.33 : 1,1.56 : 1,신청없음,0.50 : 1,신청없음,0.04 : 1,0.50 : 1,0.33 : 1,0.67 : 1
COR1013-02,자연계글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 1.00,신청없음,신청없음,1 : 0.68,1 : 1.10,신청없음,1 : 0.33,0.03 : 1,0.50 : 1,신청없음,신청없음,0.20 : 1,신청없음,신청없음,신청없음,0.04 : 1,1.00 : 1,신청없음,신청없음
COR1013-05,자연계글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,1 : 0.33,신청없음,1 : 1.12,1 : 2.00,신청없음,신청없음,0.08 : 1,2.00 : 1,신청없음,0.67 : 1,0.36 : 1,신청없음,0.05 : 1,신청없음,0.11 : 1,1.00 : 1,신청없음,0.33 : 1
COR1013-06,자연계글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,신청없음,1 : 0.20,1 : 1.28,1 : 1.50,1 : 1.00,1 : 1.00,0.04 : 1,1.00 : 1,신청없음,신청없음,0.32 : 1,신청없음,0.05 : 1,신청없음,0.10 : 1,신청없음,신청없음,신청없음
COR1013-07,자연계글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.03,신청없음,신청없음,1 : 0.20,1 : 0.48,1 : 0.07,신청없음,신청없음,신청없음,신청없음,신청없음,0.40 : 1,1.84 : 1,2.00 : 1,0.50 : 1,신청없음,0.03 : 1,0.50 : 1,신청없음,신청없음
COR1013-08,자연계글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.03,1 : 0.50,신청없음,신청없음,1 : 0.12,신청없음,1 : 0.04,1 : 0.04,0.16 : 1,6.50 : 1,0.50 : 1,1.50 : 1,0.32 : 1,0.05 : 1,0.10 : 1,0.05 : 1,0.04 : 1,2.00 : 1,신청없음,0.33 : 1
COR1013-10,자연계글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,신청없음,1 : 0.28,신청없음,신청없음,1 : 0.04,0.03 : 1,신청없음,신청없음,신청없음,0.04 : 1,0.08 : 1,신청없음,신청없음,0.03 : 1,0.50 : 1,신청없음,신청없음
COR1014-01,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.47,1 : 2.50,1 : 0.50,신청없음,1 : 1.50,1 : 0.80,1 : 0.67,쿼터없음,1.00 : 1,1.40 : 1,0.80 : 1,쿼터없음,2.90 : 1,1.60 : 1,0.80 : 1,쿼터없음,1.30 : 1,1.60 : 1,0.40 : 1,쿼터없음
COR1014-02,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.22,1 : 2.50,신청없음,신청없음,1 : 2.50,1 : 1.40,1 : 1.20,쿼터없음,신청없음,0.40 : 1,신청없음,쿼터없음,0.20 : 1,신청없음,신청없음,쿼터없음,0.10 : 1,0.20 : 1,신청없음,쿼터없음
COR1014-03,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.65,1 : 1.00,신청없음,1 : 0.33,1 : 2.20,1 : 1.60,1 : 1.20,쿼터없음,1.30 : 1,2.80 : 1,1.00 : 1,쿼터없음,0.70 : 1,신청없음,0.08 : 1,쿼터없음,0.70 : 1,1.00 : 1,1.40 : 1,쿼터없음
COR1014-04,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.50,1 : 1.50,신청없음,신청없음,1 : 2.40,1 : 1.40,1 : 1.20,쿼터없음,0.20 : 1,신청없음,신청없음,쿼터없음,1.90 : 1,0.40 : 1,신청없음,쿼터없음,신청없음,0.20 : 1,0.11 : 1,쿼터없음
COR1014-05,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.80,1 : 7.00,1 : 1.50,1 : 2.00,1 : 1.50,1 : 0.20,1 : 0.11,쿼터없음,0.20 : 1,0.20 : 1,0.11 : 1,쿼터없음,0.60 : 1,신청없음,신청없음,쿼터없음,0.40 : 1,1.20 : 1,신청없음,쿼터없음
COR1014-06,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.75,1 : 3.50,1 : 2.50,신청없음,1 : 1.90,1 : 1.00,1 : 1.20,쿼터없음,0.60 : 1,1.40 : 1,0.20 : 1,쿼터없음,0.60 : 1,0.11 : 1,신청없음,쿼터없음,0.10 : 1,0.40 : 1,신청없음,쿼터없음
COR1014-07,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.05,신청없음,1 : 0.25,신청없음,1 : 1.20,1 : 0.40,1 : 0.25,쿼터없음,0.40 : 1,1.00 : 1,신청없음,쿼터없음,0.80 : 1,0.14 : 1,0.18 : 1,쿼터없음,,,,
COR1014-09,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.18,1 : 2.00,신청없음,1 : 0.33,,,,,0.60 : 1,0.60 : 1,0.29 : 1,쿼터없음,,,,,,,,
COR1014-10,한국어글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.17,1 : 3.50,신청없음,신청없음,,,,,신청없음,0.20 : 1,0.11 : 1,쿼터없음,,,,,,,,
COR1015-12,알바트로스세미나,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,쿼터없음,쿼터없음,,,,,0.02 : 1,쿼터없음,쿼터없음,쿼터없음,,,,,신청없음,0.20 : 1,쿼터없음,쿼터없음
COR1015-13,알바트로스세미나,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,쿼터없음,쿼터없음,,,,,,,,,,,,,,,,
COR1015-38,알바트로스세미나,,,,,,,,,,,,,,,,,,,,,,,,,쿼터없음,쿼터없음,쿼터없음,쿼터없음,,,,,,,,,,,,,,,,
CSW2010-02,기초C언어,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 1.50,1 : 0.63,1 : 0.17,,,,,신청없음,1.20 : 1,0.53 : 1,0.11 : 1,,,,,0.10 : 1,1.40 : 1,1.50 : 1,0.90 : 1
