과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
SPM3110-01,라켓볼,최대혁,1,화 12:00~13:50,1-4학년,,29,"영어강의, 라켓볼장, 장소:체육관(705-8207)"
SPM3113-01,댄스스포츠I,김수미,1,월 10:30~12:20,1-4학년,,22,"체육관 메인코트, 장소:체육관(705-8207)"
SPM3114-01,댄스스포츠II,김수미,1,수 12:00~13:50,1-4학년,,23,"체육관 메인코트, 장소:체육관(705-8207)"
SPM3116-01,태권도,이천형,1,목 15:00~16:50 [K507],1-4학년,,18,"라켓볼장, 장소:체육관(705-8207)"
SPM3120-01,댄스피트니스,장영진,1,목 10:30~12:20,1-4학년,,16,"체육관 방음실, 장소:체육관(705-8207)"
PUB2005-01,법과현대사회,이상수,3,"화,목 09:00~10:15 [X231]",1-4학년,,16,"영어강의, 구 HSS3010, 구 법과생활, LAW2010대체과목"
PUB3001-01,국민의기본적권리에대한이해,임지봉,3,"화,목 16:30~17:45 [J307]",1-4학년,,38,"영어강의, 구 SHU4042"
PUB3002-01,국가와통치구조에대한이해,정재도,3,"화,목 13:30~14:45 [DB101]",1-4학년,,65,구 SHU4037
PUB3003-01,법치행정의이해,이순자,3,"월,수 16:30~17:45 [X231]",1-4학년,,29,"구 SHU4047, 법치주의의이해"
PUB3004-01,재산관계와법I,김태선,3,"수,금 13:30~14:45 [X231]",1-4학년,,24,
PUB3006-01,가족관계와법,이준현,3,"월,수 10:30~11:45 [X231]",1-4학년,,22,
PUB3007-01,민사분쟁처리와법,정유성,3,월 13:30~16:15 [X426],1-4학년,,18,
PUB3008-01,범죄와형벌의이해,이호중,3,"화,목 15:00~16:15 [X231]",1-4학년,,33,구 SHU4034
PUB3010-01,기업과법,이진효,3,월 13:30~16:15 [X231],1-4학년,,25,구 SHU4043
PUB3017-01,형사정책과법,박용철,3,"월,수 12:00~13:15 [X520]",3-4학년,,14,
PUB3019-01,미국의법체계와소송,"Riley, John Patrick",3,"화,목 13:30~14:45 [X353]",1-4학년,,34,영어강의
PUB4001-01,국제사회와법,오병선,3,"수,금 15:00~16:15 [X231]",1-4학년,,19,"구 국제법개론,국제법I,II의 대체 과목"
PUB4002-01,환경과법,이은기,3,"월,수 10:30~11:45 [X426]",1-4학년,,6,구 SHU4036
