소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
화학,CHM2451-04,무기화학실험,허남회,2,금,15:00~18:50,R117,4,없음,알수없음,0,0
화학,CHM2601-01,생화학1,조규봉,3,수금,15:00~16:15,없음,34,없음,알수없음,0,0
화학,CHMG501-01,고급생화학,이현수,3,수금,13:30~14:45,없음,34,없음,알수없음,0,0
전자공학,EEE1002-02,C언어기초,소재우,3,화목,10:30~11:45,없음,14,없음,알수없음,0,1
전자공학,EEE1002-03,C언어기초,강석주,3,화목,12:00~13:15,없음,14,없음,알수없음,0,0
전자공학,EEE1002-04,C언어기초,김홍석,3,수금,09:00~10:15,없음,14,없음,알수없음,0,0
전자공학,EEE2102-01,전자장론2,정진호,3,수금,09:00~10:15,없음,2,없음,알수없음,0,0
전자공학,EEE2108-01,공학프로그래밍,범진욱,3,월수,10:30~11:45,없음,2,없음,알수없음,0,0
전자공학,EEE2111-01,기초회로이론,김광수,3,화목,09:00~10:15,없음,1,없음,알수없음,0,0
전자공학,EEE2153-01,신호및시스템,성원진,3,월수,12:00~13:15,없음,2,없음,알수없음,0,1
전자공학,EEE2153-02,신호및시스템,김영록,3,화목,10:30~11:45,없음,2,없음,알수없음,0,0
전자공학,EEE3132-01,전자회로2,안길초,3,화목,10:30~11:45,없음,3,없음,알수없음,0,0
전자공학,EEE3142-01,기계학습기초,강석주,3,수금,13:30~14:45,없음,3,없음,알수없음,0,1
전자공학,EEE3182-01,고급전자회로실험,정진호,3,월,15:00~19:45,R712,3,없음,알수없음,1,0
전자공학,EEE3182-03,고급전자회로실험,정진호,3,수,15:00~19:45,R712,3,없음,알수없음,1,0
전자공학,EEE3182-04,고급전자회로실험,유양모,3,목,15:00~19:45,R712,3,없음,알수없음,0,0
전자공학,EEE3182-05,고급전자회로실험,최우영,3,금,15:00~19:45,R712,3,도도,알수없음,0,0
전자공학,EEE4159-01,이동통신공학,소재우,3,화목,12:00~13:15,없음,4,없음,알수없음,0,0
전자공학,EEE4161-01,인터넷통신망,장주욱,3,월수,10:30~11:45,없음,4,없음,알수없음,0,0
정치외교학,POL2002-02,정치학개론,하상응,3,수금,09:00~10:15,없음,1,귀염,알수없음,0,0
정치외교학,POL2004-01,연구방법론,송병권,3,화목,13:30~14:45,없음,14,없음,알수없음,0,0
종교학,RELG001-01,종교연구방법론,박병관,3,화목,13:30~14:45,없음,34,없음,알수없음,0,0
심리학,PSY4025-01,심리학연구방법론,연규진,3,화목,10:30~11:45,없음,24,없음,알수없음,0,0
정치외교학,POL3094-01,정당과정당제,이지호,3,화목,12:00~13:15,D202,14,없음,알수없음,0,0
정치외교학,POL3106-01,동양정치사상,안효성,3,월,13:30~16:15,없음,14,없음,알수없음,0,0
정치외교학,POL3132-01,동북아정치질서,이한얼,3,화목,16:30~17:45,없음,14,없음,알수없음,0,0
정치외교학,POL3142-01,미국외교정책,김동중,3,월수,12:00~13:15,없음,14,없음,알수없음,0,1
정치외교학,POL3165-01,중국정치의이해(중국어강의),전성흥,3,화목,15:00~16:15,없음,14,없음,알수없음,0,0
전인교육원,SHU4068-03,한중정치사회의이해(중국어)(중국어강의),전성흥,3,화목,13:30~14:45,없음,14,없음,0.757,0,0
정치외교학,POL3179-01,비교민주주의론,조영호,3,화목,13:30~14:45,없음,14,없음,알수없음,0,0
정치외교학,POL4083-01,북한정치특강,김영수,3,월수,12:00~13:15,D202,14,꼰대도도,알수없음,0,0
정치외교학,POL4133-01,국제정치이론,김동중,3,월수,16:30~17:45,없음,14,없음,알수없음,1,0
정치외교학,POL4147-01,국제관계특강,이근욱,3,수금,09:00~10:15,없음,14,없음,알수없음,0,0
화공생명공학,CBE2002-01,창의설계,이종석,3,월,13:30~16:15,없음,1,없음,알수없음,0,0
화공생명공학,CBE2002-02,창의설계,나정걸,3,월,13:30~16:15,없음,1,없음,알수없음,0,0
화공생명공학,CBE2002-03,창의설계,강문성,3,월,13:30~16:15,없음,1,없음,알수없음,0,1
화공생명공학,CBE2002-04,창의설계,백서인,3,월,13:30~16:15,없음,1,없음,알수없음,0,0
화공생명공학,CBE2009-01,화공생명공학기초실험2,최정우,3,수,16:30~22:15,R407,2,없음,알수없음,0,0
화공생명공학,CBE2009-02,화공생명공학기초실험2,최진훈,3,수,16:30~22:15,R407,2,없음,알수없음,0,0
화공생명공학,CBE2009-03,화공생명공학기초실험2,구기갑,3,수,16:30~22:15,R407,2,없음,알수없음,0,0
화공생명공학,CBE2009-04,화공생명공학기초실험2,오세용,3,수,16:30~22:15,R407,2,없음,알수없음,0,0
화공생명공학,CBE2012-01,화공수학2,이종석,3,수금,15:00~16:15,없음,14,없음,알수없음,0,0
화공생명공학,CBE2012-02,화공수학2,최진훈,3,화목,12:00~13:15,없음,14,없음,알수없음,1,0
